x_mm,y_mm
1.244445044910192735e+02,0.000000000000000000e+00
1.248102554769818937e+02,4.904377733671642092e-01
1.251738641755839723e+02,9.837483132317847989e-01
1.255351099636446293e+02,1.479919131659807485e+00
1.258937725379467025e+02,1.978934454029870116e+00
1.262496320601300965e+02,2.480775226445210535e+00
1.266024693012807489e+02,2.985419126055389505e+00
1.269520657861140762e+02,3.492840574279529875e+00
1.272982039366526124e+02,4.003010752920415527e+00
1.276406672152970145e+02,4.515897623156420515e+00
1.279792402671910025e+02,5.031465947395926896e+00
1.283137090617806564e+02,5.549677313976541626e+00
1.286438610334693919e+02,6.070490164689104517e+00
1.289694852212702756e+02,6.593859825104188666e+00
1.292903724073585181e+02,7.119738537676508550e+00
1.296063152544275852e+02,7.648075497600395956e+00
1.299171084417529585e+02,8.178816891387240773e+00
1.302225487998687754e+02,8.711905938133575944e+00
1.305224354437637828e+02,9.247282933446337339e+00
1.308165699045035808e+02,9.784885295989584009e+00
1.311047562591880364e+02,1.032464761661489305e+01
1.313868012591525769e+02,1.086650171003547705e+01
1.316625144563255105e+02,1.141037666900204250e+01
1.319317083276524443e+02,1.195619892093631975e+01
1.321941983975021628e+02,1.250389228697619259e+01
1.324498033579687046e+02,1.305337804338441465e+01
1.326983451869862733e+02,1.360457498527088305e+01
1.329396492641754719e+02,1.415739949257664065e+01
1.331735444843401410e+02,1.471176559826584729e+01
1.333998633685367281e+02,1.526758505867011273e+01
1.336184421726395328e+02,1.582476742592797692e+01
1.338291209933266259e+02,1.638322012246038284e+01
1.340317438714134255e+02,1.694284851742138898e+01
1.342261588924630757e+02,1.750355600506188836e+01
1.344122182846043643e+02,1.806524408494220424e+01
1.345897785134897617e+02,1.862781244392816404e+01
1.347587003743287539e+02,1.919115903990369176e+01
1.349188490809336542e+02,1.975518018713142609e+01
1.350700943517166763e+02,2.031977064319167425e+01
1.352123104925800874e+02,2.088482369742856193e+01
1.353453764766427412e+02,2.145023126083094311e+01
1.354691760207490177e+02,2.201588395727462100e+01
1.355835976587086691e+02,2.258167121605102068e+01
1.356885348112176928e+02,2.314748136560653791e+01
1.357838858524134196e+02,2.371320172841573992e+01
1.358695541730197931e+02,2.427871871691055716e+01
1.359454482400394681e+02,2.484391793038663465e+01
1.360114816529544441e+02,2.540868425280745768e+01
1.360675731963972908e+02,2.597290195142564428e+01
1.361136468892584617e+02,2.653645477614049142e+01
1.361496320301980631e+02,2.709922605950986352e+01
1.361754632395322915e+02,2.766109881733414610e+01
1.361910804974677660e+02,2.822195584972940807e+01
1.361964291786597983e+02,2.878167984260630163e+01
1.361914600830727693e+02,2.934015346947109393e+01
1.361761294631240276e+02,2.989725949346462386e+01
1.361503990470946235e+02,3.045288086955488183e+01
1.361142360587938072e+02,3.100690084679871106e+01
1.360676132334663180e+02,3.155920307058785212e+01
1.360105088299340537e+02,3.210967168479462686e+01
1.359429066389670311e+02,3.265819143373256850e+01
1.358647959878806546e+02,3.320464776384714867e+01
1.357761717413592919e+02,3.374892692505230229e+01
1.356770342985087723e+02,3.429091607162813915e+01
1.355673895861434914e+02,3.483050336259596236e+01
1.354472490483154559e+02,3.536757806148681027e+01
1.353166296320969195e+02,3.590203063542002582e+01
1.351755537696291185e+02,3.643375285340928116e+01
1.350240493564540714e+02,3.696263788381340021e+01
1.348621497261474076e+02,3.748858039085044425e+01
1.346898936212738818e+02,3.801147663009393796e+01
1.345073251606899589e+02,3.853122454287082377e+01
1.343144938032192783e+02,3.904772384948168451e+01
1.341114543077310373e+02,3.956087614116443518e+01
1.338982666896521607e+02,4.007058497072381442e+01
1.336749961739483297e+02,4.057675594174974520e+01
1.334417131446101621e+02,4.107929679634889197e+01
1.331984930906837690e+02,4.157811750131478590e+01
1.329454165488879482e+02,4.207313033266289182e+01
1.326825690428610756e+02,4.256424995845837600e+01
1.324100410190858383e+02,4.305139351986588281e+01
1.321279277795384246e+02,4.353448071035096234e+01
1.318363294111161395e+02,4.401343385296578248e+01
1.315353507118937557e+02,4.448817797565144616e+01
1.312251011142671473e+02,4.495864088449221185e+01
1.309056946050401677e+02,4.542475323485751915e+01
1.305772496425152838e+02,4.588644860036975359e+01
1.302398890706508041e+02,4.634366353963726937e+01
1.298937400303475442e+02,4.679633766069374445e+01
1.295389338679324283e+02,4.724441368308704625e+01
1.291756060409058762e+02,4.768783749756197921e+01
1.288038960210243431e+02,4.812655822328391508e+01
1.284239471947887807e+02,4.856052826255151444e+01
1.280359067614130311e+02,4.898970335294895051e+01
1.276399256283481236e+02,4.941404261689010013e+01
1.272361583044387032e+02,4.983350860850908504e+01
1.268247627907910697e+02,5.024806735785349332e+01
1.264059004694326092e+02,5.065768841233884245e+01
1.259797359898447979e+02,5.106234487542486988e+01
1.255464371534528851e+02,5.146201344247659648e+01
1.251061747961569637e+02,5.185667443377481334e+01
1.246591226689903920e+02,5.224631182464342771e+01
1.242054573169928773e+02,5.263091327266298691e+01
1.237453579563863286e+02,5.301047014194188733e+01
1.232790063501439590e+02,5.338497752441964650e+01
1.228065866820418677e+02,5.375443425817793752e+01
1.223282854292861686e+02,5.411884294273856000e+01
1.218442912338071551e+02,5.447820995132881450e+01
1.213547947723147047e+02,5.483254544009803055e+01
1.208599886252082882e+02,5.518186335427053280e+01
1.203600671444375934e+02,5.552618143122365524e+01
1.198552263204084198e+02,5.586552120048079217e+01
1.193456636480301825e+02,5.619990798061277104e+01
1.188315779920025363e+02,5.652937087304297137e+01
1.183131694514367638e+02,5.685394275275358211e+01
1.177906392239108868e+02,5.717366025589370793e+01
1.172641894690551823e+02,5.748856376429174730e+01
1.167340231717668217e+02,5.779869738687717273e+01
1.162003440051512797e+02,5.810410893801945065e+01
1.156633561932890757e+02,5.840484991279387117e+01
1.151232643739258776e+02,5.870097545918689974e+01
1.145802734611843334e+02,5.899254434725585838e+01
1.140345885083953590e+02,5.927961893526018144e+01
1.134864145711471508e+02,5.956226513278397761e+01
1.129359565706488695e+02,5.984055236087201735e+01
1.123834191575068502e+02,6.011455350920344642e+01
1.118290065760093484e+02,6.038434489033016206e+01
1.112729225290169239e+02,6.065000619100910484e+01
1.107153700435533352e+02,6.091162042065970894e+01
1.101565513371927665e+02,6.116927385698057407e+01
1.095966676853369961e+02,6.142305598876116335e+01
1.090359192894767233e+02,6.167305945592713101e+01
1.084745051465296228e+02,6.191937998685965283e+01
1.079126229193464184e+02,6.216211633303141326e+01
1.073504688084769612e+02,6.240137020100456056e+01
1.067882374252849189e+02,6.263724618183722725e+01
1.062261216665005605e+02,6.286985167794804852e+01
1.056643125902988061e+02,6.309929682748974500e+01
1.051029992939892850e+02,6.332569442628538070e+01
1.045423687934026447e+02,6.354915984738182289e+01
1.039826059040575785e+02,6.376981095827845536e+01
1.034238931241901867e+02,6.398776803588949491e+01
1.028664105197267560e+02,6.420315367930146522e+01
1.023103356112791715e+02,6.441609272038814993e+01
1.017558432632401519e+02,6.462671213234796141e+01
1.012031055750548774e+02,6.483514093622956409e+01
1.006522917747429631e+02,6.504151010551440493e+01
1.001035681147431688e+02,6.524595246882483934e+01
9.955709777015174211e+01,6.544860261082988018e+01
9.901304073942328898e+01,6.564959677142068983e+01
